Node_ID,Var2,Var3
0,40.5,88.8
1,44.9,39.2
2,36.6,77
3,76.4,39.7
4,62.8,80.9
5,77.2,75.6
6,93.3,37.8
7,97.3,21.7
8,19.3,79.1
9,13.9,95
10,69.7,32.8
11,9.4,67.2
12,52.6,43.9
13,53.1,83.4
14,86.2,76.9
15,48.5,16.8
16,39.4,86.2
17,67.2,99
18,74.2,51.5
19,52.1,88.5
20,34.8,58.9
21,15,15.5
22,58.7,20
23,26.3,40.7
24,4.5,74.9
25,75.5,82.6
26,24.3,79
27,44.3,31.9
28,68.8,53.5
29,36,9
30,73.7,11.2
31,39.5,13.7
32,68.4,67.9
33,70.5,49.6
34,44.3,19
35,2,49.6
36,33.1,14.8
37,42.5,5.5
38,27.1,85.1
39,19.8,56.1
40,82.2,93
41,43,69.7
