Node_ID,Var2,Var3
0,89.9,74.7
1,11.9,1.1
2,98.9,4.9
3,54,66.8
4,70.7,60.4
5,100,52.7
6,28.8,73
7,41.5,70.8
8,46.5,78.2
9,76.4,28.8
10,81.9,69.3
11,10.1,55.7
12,17.9,39.7
13,36,6.2
14,5.7,78.1
15,52.2,33.8
16,33.6,60.8
17,17.6,74.2
18,20.9,10.5
19,90.6,12.8
20,67.6,55
21,46.9,48.6
22,91.3,89.1
23,10.5,79.9
24,74.6,73.5
25,73.7,5.2
26,56.2,7.3
27,18.5,8.9
28,59.8,79.9
29,30,94.4
30,13.5,68.4
31,21.3,13.3
32,89.5,72.3
33,7.2,11.1
34,24.3,11.8
35,5.4,64.1
36,44.2,32.9
37,1.4,65.4
38,89.8,75
39,19.7,58.4
40,9.4,74.1
41,30.8,23.5
42,45.7,73.5
43,10.2,97.1
44,99.6,86.7
45,33.3,8.7
46,29.8,36.7
47,6.3,37
48,29.9,68.6
49,4.7,59.8
50,50.6,79
51,76.2,36.8
52,63.2,20.7
53,9,8.7
54,8.1,77.2
55,77.8,20.6
56,90.6,38.9
57,53.4,55.2
58,11,22.9
59,82.6,64.2
60,33.9,48.5
61,29.4,15.2
